TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC;CNPJ_ADMIN;ADMIN
F.I.I.;19.878.616/0001-98;17007 NAÇÕES FUNDO DE INVESTIMENTO IMOBILIÁRIO;16/12/2019;13/12/2019;;EM FUNCIONAMENTO NORMAL;27/12/2019;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;19.419.994/0001-03;2509 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;27/12/2013;10/12/2013;;EM FUNCIONAMENTO NORMAL;27/12/2013;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;19.213.231/0001-01;AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;29/12/2017;11/10/2013;;EM FUNCIONAMENTO NORMAL;29/12/2017;01/01/2020;31/12/2020;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;19.959.754/0001-00;AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;29/12/2017;10/10/2014;;EM FUNCIONAMENTO NORMAL;29/12/2017;01/01/2020;31/12/2020;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;31.547.782/0001-07;AGRI8 - FUNDO D E INVESTIMENTO IMOBILIARIO;19/10/2018;24/08/2018;;EM FUNCIONAMENTO NORMAL;03/12/2018;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;27.773.327/0001-52;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;22/09/2017;13/03/2017;;EM FUNCIONAMENTO NORMAL;14/12/2018;01/01/2020;31/12/2020;03.751.794/0001-13;TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;34.847.063/0001-08;ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO;22/01/2020;05/09/2019;;FASE PRÉ-OPERACIONAL;22/01/2020;;;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;22.169.716/0001-50;ALIANZA REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;09/09/2019;24/03/2015;;EM FUNCIONAMENTO NORMAL;18/09/2019;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;28.737.771/0001-85;ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;20/10/2017;22/09/2017;;EM FUNCIONAMENTO NORMAL;27/12/2017;01/07/2019;30/06/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;26.001.423/0001-10;ALL BRÁS FUNDO DE INVESTIMENTO IMOBILIÁRIO;24/08/2016;25/07/2016;;FASE PRÉ-OPERACIONAL;24/08/2016;;;15.489.568/0001-95;INTRADER DTVM LTDA
